id,유저ID,내용
1449,밤새,환불 하나도 못받았는데 니들은 한국 작다고 무시하면서 돈은 좋은가봐 중국을 지구에서 없애는게 세상에서 가장 착한일 아닐까
1450,무지FREE HONGKONG,니들 왜 아직도 점검중이냐
1451,사라져악마야,야 니네가 글 다 지우고 게임섭종한다고 이게 없던일 되냐 얼탱이가 없어서 
1452,바랄라,글 쓰는거 막았네 
1453,dedew,머머리 중국놈아 썩꺼져라 퉤
1454,밤새,애초에 한국판 만들면서 한복 만든게 한복이 한국전통옷이란거 아냐 우길걸 우겨야지. 중국인들이 떼쓴다고 말바꾸는게 더웃기다
1455,지금사라져뭘꾸물거려,끝까지 ㅅ짓하고 가네
1456,지금사라져뭘꾸물거려,이제 그만 남들꺼 뺏어라 한복은 한국꺼다
1457,티벳독립을지지합니다,카페에 있던 모든 글들 공안당한거 실화냐 이것이 웅장해진다
1458,한복은한국꺼다,중국 병신들 
1459,한복은한국꺼다,한국꺼 그만 뺏어 가라 도둑년들아
1460,엘리나루카스,샤이닝니키 계정 삭제해도 구글 구매내역에 내역 있으면 환불 해주는 건가요 언제 환불돼요 29일에 결제한거 아직 환불 못 받았는데요
1461,재밍쓰,짱깨
1462,토키사키쿠루미,양심 말아먹었네 
1463,꽃 말 이 다,뭐지
1464,Acys,29일부터 구매했던거 환불해주신다했는데 샤이닝니키 계정 지워도 구매내역 있으면 환불 해주나요 계속 시도하고 있는데 안된다던데요
1465,만두야,탈퇴는 어케 하라고
1466,HAHAHAH,댓글은 안 막아놧네
1467,0,댓글도 막은건가
1468,젤라,잘가라 병진겜
1469,체론,환불 언제해
1470,니키미,야 꺼져
1471,젤라,역대급 최악 게임에 최악 운영방식 최악 점검 하나 맘에안듬 게임 시작동시에 완료라뜨고 시작이 되지 않아 초반부터 열받음 드셈
1472,고양이 소녀 후디,바이바이
1473,고양이 소녀 후디,내가 이런 쓰레기같은 게임은 처음본다 
1474,고양이 소녀 후디,샤이닝니키고 뭐고 다 죽어야됌 
1475,솔쁘띵,그럼 서버 중국에 또 대만에 한복의상이 있다고 하던데 그건 삭제 및 수거를 할건가요 그것도 없애요
1476,한복은 한국 옷,아니 왜 이때까지 글 다 밀어버리심 게시물도 못쓰고 진짜 운영 어떻게 하시는지 이해가 안되네요
1477,가희아,짱깨이닝 다시는 페이퍼게임즈와 중국게임 보지말자 영원히
1478,셀린느,韩服是韩国的民主化运动的象征。 主张韩服是中国的东西意味着作者渴望民主主义。 啊对了。你上次跟我说过希望中国成为民主主义国家吧？ 没错。希望不要忘记天安门精神继续穿上象征民主化运动的韩服。 한복은 한국 민주화 운동의 상징이다. 한복이 중국의 것이라는 주장은 저자가 민주주의를 열망한다는 것을 의미한다. 아 맞다. 너 저번에 나한테 중국이 민주주의 국가가 되길 바란다고 말했지? 맞아요. 천안문 정신을 잊지 말고 민주화 운동을 상징하는 한복을 계속 입었으면 좋겠어요. 韩服是民主化运动的象征。 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 한푸_도전 汉服挑战 hanfu_challenge 我们穿着韩服赢得了民主主义。 谢谢你们喜欢韩服我支持中国的民主化 우린 한복을 입고 민주주의를 이뤄
1479,세임,찐인 줄
1480,미친,지금까지 이렇게까지 분노를 느껴본적이 없다 진짜. 아무리 화나도 금방 사그라들었는데 이건 진짜 아니지
1481,한복은 한국 옷,전섭 한복 폐기한다면서 중섭은 복각한단 소문이 있던데 했던 말 엎지 말고 없애시죠 
1482,꼬북,한국 문화가 부러우면 부러워 뒤지겠다고 말을해 그냥 애새끼마냥 자기꺼도 아닌데 내꺼라고 바득바득 쳐 우기면서 땡깡피우지말고
1483,한복은 한국 옷,이거 계속 하다 보면 댓글도 막히는 건 아니죠
1484,곰탱,해외 상대로 장사하는 기업이 이딴 마인드로 운영하면 안되죠
1485,시ㅣㅣㅣㅣㅣ발ㄹㄹㄹ,내가 아는거 정리 옛날부터 한복 지들꺼라 조금씩 우기고 있었음 근데 이젠 한국 서비스 공식에서 한복이 지들꺼라 지랑발광 억지. 안통하니까 삭제하고 튐 튈때 플레이어들 갠정보까지 쌔빈다는 얘기가 나옴. 이거에 대해서 딱히 뭐라하지 않음. 근데 여기서 환불도 안 해줌. 여기서 소름인건 중국 새끼들은 예전부터 우리나라 고유 문화와 역사를 따라하는 방송 들을 하고 있음 이게 밑밥이고 이 사건을 계기로 이 새끼들이 한국 고유 역사를 지들꺼로 만들라고 지랄하는게 맞다고 판단이 된다. 중국은 밑밥부터 철저히 깔고 야금야금 그 나라를 쳐먹을라 하는데 경고다. 니들 또 한국 어쩌고 지랄하면서 한국에 발 들이면 우리도 사람이라 지랄발광은 할수 있어 그리고 우리는 명확한 증거까지 있네? 우리가 지랄이니? 너희가 지랄이니? 대가리가 있으면 생각을 해봐 대한민국 만세 민주주의 만세 🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷
1486,매화G,그래서 환불 처리 어디서 어떻게 할껀대
1487,세임,개웃겨
1488,멍청이매국노,목숨이 위험해서 이딴글 쓴거면 글 한번 더 올려봐라
1489,무지FREE HONGKONG,이 미친새끼들 죄송합니다 없앤거봐 
1490,한국사랑해,중국에서 보고 다시 하라고 시켰나
1491,차이닝세키,중국옷 알리고 싶었으면 치파오 오지게 빨아제껴 보든가
1492,SSibal,씨발
1493,꿀정보,게임사로써 당연한 수순 그러게 한복을 왜 한국꺼로 우겨서 
1494,삐이,유미디진 소리하네 
1495,희야,니유미 청년이용
1496,불법미인,이런거 저런거 다 필요없고 환불이나 제대로 하세요 이건 무조건 진행 되어야 하는 사항이고 일단 애플에 사유와 함께 공지사항 주소 넣어서 환불요청 해 놓은 상태니 애플에서 어떤 답변 날아오는지 보겠습니다
1497,SUSAN,와 다 막아놨네여 점검하는척 서버 닫을 준비를 하고 있었던거네
1498,호오옹,티사야 공지올려줘
1499,샤이닝니키그게 뭐죠,와 시발
1500,샤이닝니키그게 뭐죠,도라이 새끼야
1501,레드민,카페글도 싹 민거봐
1502,유,한국운영팀 개불쌍해 니들이 뭐라고 했길래 공지가 저따구로 변했냐 
1503,SUSAN,잘가 멀리안나간다 
1504,꿀정보,어차피 전액 환불해준다는데 왜 짖어대는겨 
1505,HJ현,솔직히 기대 많이 하고 신나게 시작한 게임인데 어처구니없네
1506,한국사랑해,와 이렇게 될줄은 
1507,꿀정보,한국이 미안해 다시 돌아와서 서비스 계속 해줘 다신 안 짖어댈게 
1508,한국사랑해,사과쪽 내용 왜 지운겨 한국 직원도 뭐라 말도 못하고 답답할듯
1509,eses7050,환불 처리하고 싹 다 처리해주시는것은 감사하지만 그래도 불안감이있습니다 앞으로는 중국게임 안할것입니다 진짜 자세히 보고 깔아야 되겠습니다
1510,라온미르,환불 처리 해준다고 했어요 스스로 굳이 안해도 환불되는 건가요
1511,eses7050,저도 뉴스 보고 알았습니다 환불 처리 해준다고 그러고 정보도 폐지해준다고 그랬는데 영 혹시 몰라서 더욱더 불안해집니다 
1512,eses7050,그리고 카페 보시면 서비스 종료안내 상세라고 써져있는데 그것 한번 보시고 오세영
1513,라온미르,감사해요. 구글에서 안해줘서 걱정인데 이번이라도 해줬으면 하네요
1514,eses7050,맞습니당 꼭 환불되고 빨리 개인정보가 폐기가 되었으면 좋겠습니다 
1515,빵,죄송합니다 어디갔냐 남의 나라 고유 의복 훔쳐놓고 뻔뻔하네 얼굴에 철판을 깔았나 한복이 니네거면 치파오는 지네나라 고유 의복도 버리면서 그렇게 뺏고 싶었나요 너희들을 보고 눈가리고 아웅이라는 말을 쓰는걸 배워간다 이따구로 운영하니까 금방 섭종하고 망하는 거예요 환불은 알아서 잘 하시고 개인정보 처리나 똑바로하세요. 니네 서버는 옷 회수가 3일 이상이나 걸린다고 이쯤되면 그냥 회수를 핑계로 섭종까지 서버 안열게 하려는 생각 밖에 안드는데.
1516,섭종,왜 글이 다 사라졌나 했더니 아 
1517,꿀정보,풉 느그 씹덕들이 좋아하는 원신도 짱깨겜인데 아주 잘나간다 느그 선택적 불매는 뻔해 조또 효력없어 노 재팬 꼴깝할때도 동물의숲 포켓몬에 환장한 냄비민족아 
1518,그렇게살지마라,우리나라를 얼마나 우습게 봤으면 이런 개같은 운영을 하고 튀냐 
1519,Nariyu,에효
1520,퓨페파피퓨,함께 해서 드러웠고 다시는 만나지 말자 중국인들아
1521,망겜이네,이번일을 계기로 진짜 중국 혐오 생겼다
1522,dedew,짱깨는 엿이나 까잡수고 꺼져
1523,한국사랑해,계정은 섭종과 같이 탈퇴되나요 탈퇴문의는 받아주려나
1524,한복은한국전통옷,다 지웠네 시발
1525,소민,다신 보지말자 
1526,내돈내놔라,환불을 대체 어떻게 처리해준다는 거지 그 많은 것들을 언제
1527,ㅅㅗㅅ,씹덕같은 소리 처하고 앉아있네 이거 하는 놈들 다 씹덕임 니는 키보드질이나 처 하고 앉아있으면서 사람 앞에 두고 저딴 소리 지껄일 수 있음 그따구로 말 할거면 중국인하새요 짱깨라고 많이 불러줄게
1528,꿀정보,저딴 그래픽 쳐빨면서 하악거리는 니놈년들은 당연 씹덕이지 짱깨산 그래픽에 환장한씹뜨억들앜 
1529,ㅅㅗㅅ,그니까 내가 왜 씹덕이냐고 뭔 말같지도 않은 소리 하고 있냐 쟤네가 잘못한건 팩튼데 왜 풀발뛰고 지랄임 아 키보드맨 그 키보드로 밖에 쌩쇼 못하는 애들 수준 봐라 수준 
1530,박자,우왕 아주 씹창났네 니네 때문에 중국 혐오생김 어쩔거 내년에 중국 여행 가려고 벼르고 있었구만 갈 생각 했던 내가 존내 개꼴깝떤거네 다신 보지말자 니키
1531,냐냐냐,마지막의 마지막까지 추한 꼴을 보여주는구나.
1532,소민,댓글수 엄청 많네
1533,월하미인,씨발 쫄리니까 댓글도 막네 퉷
1534,자이렌시아,방법을 알려줘야지 
1535,몽지,댓글은 안막았노
1536,자이렌시아,방법을 안알려주고 환불해주겠다고 하는거는 우롱 아닌지
1537,자이렌시아,저래놓고 우리는 환불해준다고했어 방법은 느그들이 알아서해 이건가
1538,매화G,상담사 연결중인데 개발자에 문의하고 메일보내라네요
1539,찬란,환불은 따로 신청 안 해도 자동으로 되나요
1540,자이렌시아,보통 환불해준다고하면 방법을 알려줄텐데 
1541,자이렌시아,상담사는 무조건 개발사보고 하라함
1542,자이렌시아,자동아닐듯 
1543,한복은대한민국꺼,한복은 대한민국껍니다 이 짱깨새끼들아
1544,중국은 똑바로 사과해,아무리 관종 짓이 하고 싶어도 나라 팔아먹는 짓은 하면 안되지 잼민아 눈치챙겨
1545,한복은대한민국꺼,내가 니네 나라겜 또 하나봐라 개념 밥이나 처 드신 새끼들아
1546,MOMOCAT,에휴
1547,k4040y,글삭 ㅐ쩌네
1548,k4040y,에휴 중국여행 절대안간다 중국 주식도 안살거임 
1549,역린,답변 부탁드려요 업체 끼고 환불 진행하려고 했는데 취소할까요 근데 여기서 개발자가 환불을 해준다는 것 같은데 도대체 어떻게 환불을 해준다는 건지 모르겠어요 
1550,곰탱,시간 지나면 자동으로 결제취소될거예요 업체끼면 수수료붙으니까 일단 기다려보는게 좋을거같아요
1551,역린,대댓 정말 감사해요 좋은 하루 되세요 
1552,탈주닌자A,와 이 뇌를 천안문에 두고 온 놈들이 게시판 자체를 밀어버렸네 
1553,고양이 소녀 후디,쌉 ㅅ 들아
1554,꽃화율,글 다 삭제하셨네
1555,  뒤졌노,원신은 또 뭐노 난 반일안한다 이거야 느그 좌좀딱덜만 반일하지 븅신아 
1556,유중혁,대한민국 만세 만세 중국 쨍깨놈들 잘가라 
1557,안녕하시구리,서비스 종료라니요 갑자기 왜 그러는거죠.
1558,망해라니키,지금 사태 모르시나봐요
1559,안녕하시구리,네 요약해서 알려주세요
1560,곰탱,공지 읽어보셨나요 중국이 한복을 조선족 옷이라 우겨서 한국유저들이 반박했더니 한복 폐기 그래도 반발하니 중국의 존엄성을 훼손했다며 더이상 못참겠다고 섭종한다네요
1561,별빛시린,한복이 한국서버 오픈기념으로 나옴 중국에서 난리 한복은 중국꺼 시전 한복게임 아이템삭제 개인정보 중국 넘어가는거 한복삭제등으로 한국난리 한복은 중국꺼 우린 중국지지 새벽에 갑자기 한국서버 종료 한국 반발 환불 공지
1562,쵸수니,3일만에 환불이 된다고 생각하는건가 어이없네
1563,쵸수니,앗 12월을 11월 봤네염 
1564,은화1,죄송해요 답글을 잘못 달았어요
1565,쵸수니,아뇨 덕분에 공지 다시 읽었어요 
1566,은화1,죄송합니다 
1567,쵸수니,아뇨 아뇨 괜찮습니당
1568,은화1,감사합니다 좋은 하루 보내세요 
1569,쵸수니,은화님도 좋은 하루 보내세욜
1570,은화1,감사합니다
1571,퓨페파피퓨,모든 댓 다막네
