id,유저ID,내용
224,포류,섭종 좋네 환불을 제대로 끝내주고 중국으로 가시길
225,피세스,환불해주고가 
226,별빛LOVE,유감과 분노는 한국유저들의 몫이다. 사과도 할 줄 모르는 쓰레기 마인드.
227,지으니,환불 다해주고 가라 진짜 어이없네 니네 다 걍 중국으로 가 우리도 니네 필요없어
228,바람개비,이건 좀 
229,레핫,아니 미친 점검이라 뜨길래 그런가부다 했는데 아니
230,크림햄찌,아직도 있네
231,E로다,뻔뻔한것도 정도가 있지 착짱 죽짱이 진짜였다니 제발 정신 좀 차려 그리고 글은 또 왜 저렇게 못쓰는거임 시진핑이 썼나
232,녹차모찌떡,누가 한복 삭제해달랬어요 아니 진짜 유머감각 독특하시네 대응 잘못해서 이사단 난 건데 그게 잘못되지가 않았다고요 동무동무 하시는 공산당으로 돌아가세요 제발
233,찐빵s,칵 퉤 만나서 드러웠다 나쁜새끼들아 한복이랑 한푸 차이 더 알아서 공부해와라 그놈의 중국 넘버원 사상 세뇌 당하지 말고
234,시랑,오픈 1주일만에 망한 게임이 있다 뿌슝빠슝 그나저나 내가하는 씝덕 중국산게임 두개는 한복을 중국꺼라는 발언은 안하는데 여기는 왜그러냐 
235,르밍,타이완 남바 완
236,프레젤,와 진짜
237,유리ㅇ,환불 어케 해줄꺼니 
239,라겐,중국몽 꿈꾸다가 오지게 처맞고 발뺴는거 보소
240,크리스탈,모욕 사실대로 말한것뿐인데 모욕이라뇨 진짜 어이없네
241,멍청이매국노,레전드네 와 개인정보 파기 확인 확실히 하고 가라 이 ㅅ들아
242,럽프듀유저,이 씨벌럼들이 뭐라는거야 
243,밤새,환불 다해라 짱깨새끼들아
244,휘핑크림선생,미친 
245,무청,개인정보 해명해 환불해 
246,샤브,한복이 짱깨옷이야 김치듀 도대체 쭝꿔는 무슨 전통이 있어 근본이 없나
247,예쨘,내돈 내놔
248,만나서 더러웠어ㅎㅎ,개인정보 ㅅ들아 살리라고 그냥 갈꺼임
249,ㅗㅗㅗㅗ,피코 응 들어가고
250,체론,환불해줘
251,유 채,아니 한복 폐기를 한 자체가 문제지 폐기가 해결책이였다고 불 붙인 꼴밖에 더 되나 한복을 한복이라고 하지 못하면 뭐라고 부르냐 증말 니넨 그냥 평생 그렇게 살아라 니키 좋아했었는데 니키고 뭐고 정뚝떨임 
252,funfun,공지내용 꼬라지 이미 털린 정 더 털리게 하는 중국 클라스 절대 붙잡을 일 없으니 환불이나 해주고 가라
253,삐빕,환불해
254,총점주작샤이닝니키,77잘가시구
255,오이냉국,앜 
256,PATISA,헐 퍼가고 싶은데 사진 좀 주실 수 있으신가요
257,히지까따,지금 그래서 하고 싶은말이 미안하다가 아닌 미친놈들아 니네가 먼저 잘못했잖아 인가요
258,설시화,야 니네들 결국 한복이 중국꺼라는거네 선 씨게넘넼 니네회사 한국에 게임 내지마라 이제
259,설초,결론이 우리가 잘못했다는 거예요 우리가 우리꺼라고 주장한게 뭐가 잘못인지 한섭 와서 자기꺼라고 주장하는 애들을 이상하게 생각해야지 왜 한섭 유저들 탓으로 돌리는거죠 이딴게 섭종 공지라는게 믿어지지않네요
260,Heather,사과는 안하시겠다
261,램,개미친 
262,램,니네가 지랄해서 결국 섭종 이러는거로밖에 안 보이네 글 전체가 너무 찡찡대는거 같아요 성우분들이랑 유저들만 피해입고 
263,좋아요한글에탈퇴방법,와 개쩔어 일주일만에 섭종 실환가 가슴이 웅장해진다
264,램,그러니까요 레전드
265,라트리,아니 섭종하면 환불건은 어떻게 되는거에요 자기들 기분이가 나쁘고 문화찬탈 하려다가 니들이 존나게 반대해서 실패했다 너희는 중국문화도 모르는 애들이야 이딴 느낌으로 공지 써두고 링크 타고 들어가면 뭔 헛소리들만 짓껄이고 현실 재화나 어떻게 돌려줄지나 공지하세요
266,중국ㅗ,시발 니네가 이러니까 무식한 소릴 듣는거야 중국놈들아 환불하고 가
267,블랑한비,중국입장과 같다는 한마디로 한복이 중국꺼라는거에 동의한다는말이네요 한국에 있지말고 중국으로 가세요
268,루라아,웃기넼 도둑질한 건 중궈인데 마지막 한계라눀 우리 한국의 마지막 한계를 넘은 지 오래됐습니다 한국인이면서 부끄럽지도 않은지 중국 가서 사세요
269,앙꼬,환불해주고 가 
270,녹차모찌떡,사과문 올라올 줄 알았는데 배째라네 조카가 이것보다 사과 잘하겠다
271,삐빕,야 그리고 누가한다냐니들 겜
272,wingineer,이ㅣ관제도 동일 씨발
273,파맛,사과해도 모자랄판에 박박 우기고 지랄 느그나라 역사 좀 배워 게임 처만드느라 역사를 잊었니 느그 조국 모욕은 우리가 아니라 니네들이 하고 있는 거야 제발 정신 좀 차려
274,E로다,근데 진짜 중국이 시대를 역행하는 나라구나 21세기에서 조국을 운운하면서 언론의 자유를 억압할 수 있다니 아 중국에서 안태어나서 다행인듯 세계 어떤 나라보다도 뒤처진것 같음
